STATE,STATENAME,ST_CASE,VEH_NO,MOD_YEAR,MOD_YEARNAME,VPICBODYCLASSNAME,MAKENAME,BODY_TYP,BODY_TYPNAME,ROLLOVER,ROLLOVERNAME,FIRE_EXP,FIRE_EXPNAME,DEATHS,DR_DRINK,DR_DRINKNAME,SPEEDREL,SPEEDRELNAME,VSPD_LIM,VSPD_LIMNAME,VSURCOND,VSURCONDNAME
1,Alabama,10046,1,2011,2011,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Chevrolet,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0,No Rollover,1,Yes,1,1,Yes,0,No,45,45 MPH,1,Dry
1,Alabama,10047,1,1994,1994,Pickup,Mazda,34,Light Pickup,0,No Rollover,0,No or Not Reported,1,1,Yes,0,No,55,55 MPH,1,Dry
1,Alabama,10048,1,2010,2010,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Nissan/Datsun,6,Station Wagon (excluding van and truck based),0,No Rollover,1,Yes,1,1,Yes,0,No,55,55 MPH,1,Dry
1,Alabama,10049,1,2004,2004,Sedan/Saloon,Lexus,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10050,1,2020,2020,Sedan/Saloon,Dodge,2,"2-door sedan,hardtop,coupe",0,No Rollover,0,No or Not Reported,1,0,No,4,"Yes, Too Fast for Conditions",40,40 MPH,1,Dry
1,Alabama,10051,1,2009,2009,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Toyota,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",3,Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,4,Ice/Frost
1,Alabama,10052,1,2012,2012,Crossover Utility Vehicle (CUV),Nissan/Datsun,6,Station Wagon (excluding van and truck based),3,Rollover,0,No or Not Reported,1,0,No,3,"Yes, Exceeded Speed Limit",35,35 MPH,1,Dry
1,Alabama,10053,1,2015,2015,Pickup,Chevrolet,34,Light Pickup,0,No Rollover,0,No or Not Reported,1,0,No,0,No,45,45 MPH,1,Dry
1,Alabama,10054,1,2010,2010,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Chevrolet,6,Station Wagon (excluding van and truck based),0,No Rollover,0,No or Not Reported,1,0,No,9,Reported as Unknown,30,30 MPH,1,Dry
1,Alabama,10055,1,2015,2015,Pickup,GMC,34,Light Pickup,0,No Rollover,0,No or Not Reported,0,0,No,0,No,65,65 MPH,1,Dry
1,Alabama,10056,1,2015,2015,Motorcycle - Sport,Kawasaki,80,Two Wheel Motorcycle (excluding motor scooters),8,Not Applicable,0,No or Not Reported,1,1,Yes,3,"Yes, Exceeded Speed Limit",55,55 MPH,1,Dry
1,Alabama,10056,2,1997,1997,Sedan/Saloon,Jaguar,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10057,1,2021,2021,Motorcycle - Street,Ducati,80,Two Wheel Motorcycle (excluding motor scooters),8,Not Applicable,0,No or Not Reported,1,0,No,9,Reported as Unknown,25,25 MPH,1,Dry
1,Alabama,10058,1,2019,2019,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Ford,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0,No Rollover,0,No or Not Reported,1,0,No,0,No,45,45 MPH,2,Wet
1,Alabama,10058,2,2003,2003,Pickup,Ford,34,Light Pickup,0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,2,Wet
1,Alabama,10059,1,2008,2008,Pickup,Toyota,34,Light Pickup,0,No Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,2,Wet
1,Alabama,10059,2,2022,2022,Pickup,Chevrolet,34,Light Pickup,0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,2,Wet
1,Alabama,10060,1,2021,2021,Off-road Vehicle - Multipurpose Off-Highway Utility Vehicle [MOHUV] or Recreational Off-Highway Vehicle [ROV],Other Make,96,Multipurpose Off-Highway Utility Vehicles [MOHUV] or Recreational Off-Highway Vehicle [ROV],3,Rollover,0,No or Not Reported,1,1,Yes,0,No,55,55 MPH,2,Wet
1,Alabama,10061,1,2016,2016,Coupe,Chevrolet,3,3-door/2-door hatchback,0,No Rollover,0,No or Not Reported,1,1,Yes,0,No,45,45 MPH,2,Wet
1,Alabama,10062,1,2003,2003,Sport Utility Truck (SUT),Chevrolet,34,Light Pickup,3,Rollover,0,No or Not Reported,1,0,No,0,No,45,45 MPH,1,Dry
1,Alabama,10063,1,2016,2016,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Honda,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,0,0,No,0,No,65,65 MPH,1,Dry
1,Alabama,10064,1,2022,2022,Minivan,Toyota,20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",0,No Rollover,0,No or Not Reported,0,0,No,0,No,45,45 MPH,2,Wet
1,Alabama,10064,2,2024,2024,Motorcycle - Sport,Kawasaki,80,Two Wheel Motorcycle (excluding motor scooters),8,Not Applicable,0,No or Not Reported,1,0,No,0,No,45,45 MPH,2,Wet
1,Alabama,10065,1,2003,2003,Sedan/Saloon,Chevrolet,4,"4-door sedan, hardtop",3,Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
